Name,GP,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,TARGET_5Yrs
Jason Kidd,79,11.7,38.888888888888886,27.272727272727273,68.57142857142857,5.4,7.7,1.9,0.3,3.2,1.0
Melvin Turpin,79,10.6,51.11111111111111,0.0,77.77777777777777,5.7,0.5,0.5,1.1,1.5,1.0
Scottie Pippen*,79,7.9,46.47887323943662,33.333333333333336,59.090909090909086,3.8,2.1,1.1,0.7,1.7,1.0
Jameer Nelson,79,8.7,45.56962025316456,33.333333333333336,64.28571428571429,2.4,3.0,1.0,0.0,1.5,1.0
Reggie Johnson,79,10.2,50.0,0.0,66.66666666666667,4.5,1.0,0.6,0.6,1.6,0.0
Marvin Williams,79,8.5,44.776119402985074,28.571428571428573,75.0,4.8,0.8,0.6,0.3,1.1,1.0
Allan Houston,79,8.5,40.0,26.666666666666668,78.57142857142858,1.5,1.3,0.4,0.2,1.3,1.0
Rodney Rogers,79,8.1,43.47826086956522,33.333333333333336,66.66666666666667,2.9,1.3,0.8,0.6,1.7,1.0
Marreese Speights,79,7.7,50.0,0.0,76.47058823529412,3.7,0.4,0.3,0.7,0.6,1.0
Benoit Benjamin,79,11.1,48.8095238095238,0.0,74.35897435897436,7.6,1.0,0.8,2.6,1.8,1.0
Chris Mills,79,9.4,41.86046511627907,33.333333333333336,77.27272727272727,5.1,1.6,0.7,0.6,1.1,1.0
Paul Pressey,79,6.7,45.762711864406775,0.0,59.090909090909086,3.6,2.6,1.3,0.6,2.0,1.0
Mitch Richmond*,79,22.0,46.857142857142854,36.36363636363636,81.25,5.9,4.2,1.0,0.2,3.4,1.0
Isaiah Rider,79,16.6,46.808510638297875,36.8421052631579,79.41176470588235,4.0,2.6,0.7,0.3,2.8,1.0
Bob Sura,79,5.3,41.30434782608696,30.0,72.22222222222221,1.7,2.9,0.7,0.3,1.5,1.0
Todd Lichti,79,8.0,49.23076923076923,0.0,72.72727272727272,1.9,1.5,0.7,0.2,1.2,1.0
Wesley Johnson,79,9.0,39.53488372093023,35.13513513513514,66.66666666666667,3.0,1.9,0.7,0.7,1.2,1.0
Al Thornton,79,12.7,42.72727272727273,31.25,75.0,4.5,1.2,0.6,0.5,1.6,0.0
Tim Hardaway,79,14.7,47.2,27.27272727272727,77.14285714285714,3.9,8.7,2.1,0.1,3.3,1.0
Jamal Mashburn,79,19.2,40.57142857142857,28.947368421052637,70.9090909090909,4.5,3.4,1.1,0.2,3.1,1.0
Anthony Carter,79,6.3,39.0625,0.0,75.0,2.5,4.8,1.2,0.1,2.2,1.0
Spud Webb,79,7.8,48.07692307692307,0.0,77.14285714285714,1.6,4.3,1.0,0.1,2.0,1.0
Terry Porter,79,7.1,47.368421052631575,40.0,80.0,1.5,2.5,1.0,0.0,1.3,1.0
Hersey Hawkins,79,15.1,45.52845528455284,42.857142857142854,83.78378378378378,2.8,3.0,1.5,0.5,2.0,1.0
Mike O'Koren,79,11.0,48.42105263157894,50.0,62.96296296296296,6.1,3.2,1.1,0.3,1.9,1.0
Kevin Edwards,79,13.8,42.142857142857146,20.0,75.0,3.3,4.4,1.8,0.3,3.1,1.0
Fred Roberts,79,7.3,52.94117647058824,0.0,81.81818181818181,3.8,1.2,0.7,0.5,1.3,1.0
Vernon Maxwell,79,11.7,42.857142857142854,25.0,74.19354838709677,2.6,3.8,1.1,0.1,2.3,1.0
LeBron James,79,20.9,41.798941798941804,29.629629629629626,75.86206896551725,5.5,5.9,1.6,0.7,3.5,1.0
Rashad McCants,79,7.9,45.588235294117645,34.78260869565218,76.92307692307692,1.8,0.8,0.6,0.3,1.1,0.0
Jarrett Jack,79,6.7,44.44444444444444,30.0,80.0,2.0,2.8,0.5,0.0,1.3,1.0
P.J. Brown,79,5.7,41.1764705882353,0.0,78.94736842105263,6.2,1.2,0.9,1.2,0.9,1.0
Charles Jones,78,8.4,51.724137931034484,0.0,63.88888888888888,5.1,1.6,0.6,0.8,1.8,0.0
Eric Montross,78,10.0,52.7027027027027,0.0,61.76470588235294,7.3,0.5,0.4,0.8,1.4,1.0
Terrence Williams,78,8.4,39.75903614457831,30.769230769230766,72.22222222222221,4.5,2.9,0.6,0.1,1.6,0.0
Frank Brickowski,78,4.9,48.71794871794872,0.0,68.75,3.3,1.3,0.4,0.2,1.3,1.0
Jamario Moon,78,8.5,48.648648648648646,31.25,72.72727272727272,6.2,1.2,1.0,1.4,0.7,1.0
Eric Gordon,78,16.1,45.689655172413794,39.53488372093023,84.44444444444444,2.6,2.8,1.0,0.5,2.1,1.0
Wesley Person,78,10.4,48.78048780487805,44.11764705882353,76.92307692307692,2.6,1.3,0.6,0.3,1.0,1.0
Justise Winslow,78,6.4,42.3728813559322,26.666666666666668,66.66666666666667,5.2,1.5,0.9,0.3,1.2,0.0
Carey Scurry,78,4.7,46.15384615384615,0.0,62.5,3.1,1.1,1.0,0.8,1.2,0.0
Steve Colter,78,7.1,45.9016393442623,33.333333333333336,76.47058823529412,1.9,3.1,1.0,0.1,1.4,1.0
Adam Morrison,78,11.8,38.01652892561983,33.33333333333334,68.18181818181817,2.9,2.1,0.4,0.1,1.7,0.0
Tim McCormick,78,9.3,54.83870967741935,0.0,70.58823529411765,5.1,1.0,0.2,0.4,1.5,1.0
Quinton Ross,78,5.1,43.75,0.0,64.28571428571429,2.7,1.4,0.7,0.3,0.7,1.0
Evan Turner,78,7.2,42.64705882352941,33.333333333333336,81.25,3.9,2.0,0.6,0.2,1.0,1.0
Brian Roberts,78,7.1,40.909090909090914,40.0,90.0,1.2,2.8,0.5,0.0,0.9,1.0
Steve Johnson,78,12.8,61.44578313253011,0.0,64.28571428571428,5.9,1.2,0.5,1.1,2.5,1.0
Mateen Cleaves,78,5.4,41.1764705882353,50.0,66.66666666666667,1.7,2.7,0.6,0.0,1.8,1.0
Caron Butler,78,15.4,41.66666666666667,28.571428571428573,83.33333333333334,5.1,2.7,1.8,0.4,2.5,1.0
Trent Tucker,78,8.4,45.783132530120476,50.0,75.0,2.8,2.5,0.7,0.1,0.9,1.0
Alonzo Mourning*,78,21.0,51.04895104895105,0.0,77.77777777777779,10.3,1.0,0.3,3.5,3.0,1.0
Jae Crowder,78,5.0,38.29787234042553,32.0,66.66666666666667,2.4,1.2,0.8,0.2,0.6,1.0
Alec Kessler,78,6.2,43.333333333333336,0.0,64.70588235294119,4.3,0.4,0.2,0.3,1.4,0.0
DerMarr Johnson,78,5.1,38.0,31.25,72.72727272727272,2.3,0.8,0.6,0.4,1.2,1.0
Richard Anderson,78,5.2,40.00000000000001,50.0,66.66666666666667,3.5,1.5,0.7,0.3,1.2,1.0
Desmond Mason,78,5.9,42.85714285714286,22.22222222222222,75.0,3.2,0.8,0.5,0.3,0.7,1.0
Michael Kidd-Gilchrist,78,9.0,45.56962025316456,0.0,75.0,5.8,1.5,0.7,0.9,1.3,1.0
Derrick Favors,78,6.8,52.83018867924528,0.0,59.090909090909086,5.3,0.5,0.4,0.9,1.0,1.0
Paul Graham,78,10.1,44.827586206896555,38.888888888888886,72.72727272727272,3.0,2.2,1.2,0.3,1.2,0.0
Danny Granger,78,7.5,45.9016393442623,33.333333333333336,78.94736842105263,4.9,1.2,0.7,0.8,1.0,1.0
Randy Wittman,78,4.5,51.21951219512196,0.0,66.66666666666667,0.9,0.9,0.2,0.0,0.4,1.0
John Williams,78,9.2,45.0,20.0,62.06896551724138,4.7,2.4,1.6,0.4,1.6,1.0
Trenton Hassell,78,8.7,41.97530864197531,38.095238095238095,73.33333333333334,3.3,2.2,0.7,0.6,1.3,1.0
Shane Battier,78,14.4,43.08943089430894,37.142857142857146,69.44444444444444,5.4,2.8,1.6,1.0,2.0,1.0
Rudy Gay,78,10.8,42.2680412371134,38.888888888888886,70.37037037037037,4.5,1.3,0.9,0.9,1.8,1.0
Tellis Frank,78,8.1,43.05555555555556,0.0,70.37037037037037,4.2,1.4,0.7,0.3,1.4,1.0
Sidney Lowe,78,4.2,42.42424242424243,0.0,77.77777777777777,1.6,3.4,1.2,0.1,1.4,0.0
Rajon Rondo,78,6.4,41.37931034482759,25.0,62.5,3.7,3.8,1.6,0.1,1.8,1.0
Granville Waiters,78,3.6,51.61290322580645,0.0,57.142857142857146,2.9,0.8,0.3,1.1,0.8,1.0
Chris Paul,78,16.1,42.97520661157025,26.086956521739133,84.99999999999999,5.1,7.8,2.2,0.1,2.4,1.0
David Benoit,77,5.6,46.938775510204074,0.0,84.61538461538463,3.8,0.4,0.3,0.6,0.9,1.0
Bryant Reeves,77,13.3,45.614035087719294,0.0,71.7948717948718,7.4,1.4,0.6,0.7,2.0,1.0
Joe Johnson,77,7.5,43.42105263157895,29.411764705882355,71.42857142857143,3.3,2.3,0.8,0.3,0.9,1.0
Jason Collins,77,4.5,41.666666666666664,0.0,71.42857142857143,3.9,1.1,0.4,0.6,0.9,1.0
Tim Thomas,77,11.0,44.9438202247191,36.36363636363636,73.33333333333334,3.7,1.2,0.7,0.2,1.5,1.0
Courtney Lee,77,8.4,45.714285714285715,42.307692307692314,83.33333333333334,2.3,1.2,1.0,0.2,0.9,1.0
Sonny Parker,77,9.2,42.16867469879518,32.0,66.66666666666666,2.6,4.3,1.2,0.1,2.0,1.0
Tony Snell,77,4.5,38.63636363636363,30.434782608695656,80.0,1.6,0.9,0.4,0.2,0.6,0.0
Anthony Peeler,77,10.4,47.5609756097561,40.0,77.77777777777777,2.3,2.2,0.8,0.2,1.6,1.0
Stephen Jackson,77,8.2,43.24324324324324,35.0,72.22222222222221,2.7,1.8,1.1,0.2,1.7,1.0
Tyler Zeller,77,7.9,43.83561643835616,0.0,80.0,5.7,1.2,0.5,0.9,1.2,1.0
Lorenzen Wright,77,7.3,48.4375,0.0,57.894736842105274,6.1,0.6,0.6,0.8,1.0,1.0
Lloyd Daniels,77,9.1,44.047619047619044,34.78260869565218,69.23076923076923,2.8,1.9,0.5,0.4,1.3,1.0
Danny Vranes,77,4.9,55.88235294117647,0.0,63.15789473684211,2.6,0.7,0.4,0.3,0.9,1.0
Latrell Sprewell,77,15.4,46.03174603174603,34.61538461538461,72.97297297297297,3.5,3.8,1.6,0.7,2.6,1.0
Dennis Rodman*,77,6.5,54.90196078431373,0.0,62.5,4.3,0.7,0.5,0.6,1.2,1.0
Anthony Johnson,77,7.5,36.70886075949367,29.411764705882355,71.42857142857143,2.2,4.3,0.8,0.1,1.6,1.0
James Worthy*,77,13.4,58.0,0.0,62.06896551724138,5.2,1.7,1.2,0.8,2.3,1.0
Kenny Gattison,77,5.2,47.5,0.0,63.63636363636363,3.5,0.5,0.3,0.4,1.1,1.0
DeMar DeRozan,77,8.6,50.0,50.0,76.0,2.9,0.7,0.6,0.2,0.8,1.0
Corey Maggette,77,8.4,47.54098360655738,0.0,73.52941176470588,3.9,0.8,0.3,0.3,1.8,1.0
Hollis Thompson,77,6.0,45.83333333333334,40.90909090909091,77.77777777777777,3.2,0.9,0.7,0.2,0.8,0.0
Jerome Kersey,77,6.1,47.916666666666664,0.0,62.5,2.7,0.8,0.6,0.4,0.9,1.0
Steve Francis,77,18.0,44.827586206896555,35.0,78.72340425531915,5.3,6.6,1.5,0.4,4.0,1.0
George Hill,77,5.7,39.583333333333336,33.333333333333336,78.94736842105263,2.1,1.8,0.6,0.3,1.0,1.0
Zach LaVine,77,10.1,42.04545454545454,31.818181818181817,82.60869565217392,2.8,3.6,0.7,0.1,2.5,0.0
Lucious Harris,77,5.4,42.0,25.0,73.33333333333334,2.0,1.4,0.6,0.1,1.0,1.0
Jeff Taylor,77,6.1,42.307692307692314,35.0,76.92307692307692,1.9,0.8,0.6,0.2,0.6,0.0
Delaney Rudd,77,3.5,41.1764705882353,28.571428571428573,71.42857142857143,0.7,2.3,0.3,0.0,1.1,0.0
Charles Oakley,77,9.6,51.42857142857143,0.0,65.71428571428571,8.6,1.7,0.9,0.4,2.3,1.0
Glen Rice,77,13.6,43.884892086330936,22.22222222222222,75.0,4.6,1.8,0.9,0.3,1.5,0.0
Tony Allen,77,6.4,48.0,50.0,75.0,2.9,0.8,1.0,0.3,1.0,1.0
David Wingate,77,8.8,43.58974358974359,28.571428571428573,73.07692307692308,2.0,2.0,1.2,0.3,1.7,1.0
Russ Schoene,77,6.2,48.214285714285715,0.0,72.72727272727272,3.3,0.8,0.3,0.3,1.1,0.0
Craig Hodges,76,9.9,45.16129032258064,25.0,70.58823529411765,1.6,3.6,1.1,0.1,2.1,1.0
Quintin Dailey,76,15.1,46.616541353383454,33.333333333333336,72.97297297297297,3.4,3.7,0.9,0.1,2.7,1.0
Allen Iverson*,76,23.5,41.414141414141405,33.333333333333336,69.44444444444444,4.1,7.5,2.1,0.3,4.4,1.0
Darren Collison,76,12.4,47.11538461538462,40.0,82.60869565217392,2.5,5.7,1.0,0.1,2.7,1.0
Wayne Ellington,76,6.6,42.3728813559322,38.095238095238095,88.88888888888889,2.1,1.0,0.3,0.1,1.0,1.0
James Harden,76,9.9,40.78947368421053,36.36363636363637,81.25,3.2,1.8,1.1,0.3,1.4,1.0
Sleepy Floyd,76,8.1,43.47826086956522,33.333333333333336,83.33333333333334,1.8,1.8,0.8,0.2,1.4,1.0
Albert King,76,12.1,47.66355140186916,0.0,78.26086956521739,4.1,1.9,0.8,0.5,2.4,1.0
Antonio McDyess,76,13.4,48.275862068965516,0.0,68.75,7.5,1.0,0.7,1.5,2.0,1.0
Kareem Rush,76,3.0,40.625,33.333333333333336,66.66666666666667,1.2,0.9,0.1,0.1,0.8,1.0
Quentin Richardson,76,8.1,44.927536231884055,35.0,61.904761904761905,3.4,0.8,0.6,0.1,0.8,1.0
Larry Drew,76,6.6,40.625,50.0,77.77777777777777,1.6,3.3,1.2,0.1,2.2,1.0
Duane Causwell,76,6.9,51.85185185185185,0.0,63.63636363636363,5.1,0.9,0.6,1.9,1.3,1.0
Willie Burton,76,12.0,44.11764705882353,25.0,76.92307692307692,3.4,1.4,0.9,0.3,1.9,1.0
Devin Harris,76,5.7,43.75,35.294117647058826,71.42857142857143,1.3,2.2,1.0,0.3,1.1,1.0
Keyon Dooling,76,5.9,39.583333333333336,36.36363636363636,66.66666666666667,1.2,2.3,0.5,0.1,1.2,1.0
Devin Booker,76,13.8,42.10526315789473,34.21052631578947,82.3529411764706,2.5,2.6,0.6,0.3,2.1,0.0
Maurice Harkless,76,8.2,45.945945945945944,26.666666666666668,58.82352941176471,4.4,0.7,1.2,0.8,0.9,1.0
Kirk Hinrich,76,12.0,38.888888888888886,38.77551020408163,81.81818181818181,3.4,6.8,1.3,0.3,2.7,1.0
Chris Webber,76,17.5,55.14705882352941,0.0,53.191489361702125,9.1,3.6,1.2,2.2,2.7,1.0
Jason Smith,76,4.5,46.34146341463415,50.0,63.63636363636363,3.0,0.3,0.3,0.7,0.6,1.0
Darrell Arthur,76,5.6,43.859649122807014,0.0,62.5,4.6,0.6,0.7,0.7,0.6,1.0
Jerian Grant,76,5.6,39.21568627450981,23.076923076923077,81.25,1.9,2.3,0.7,0.1,1.1,0.0
Doug Smith,76,8.8,41.30434782608696,0.0,75.0,5.1,1.7,0.8,0.5,1.3,1.0
Larry Stewart,76,10.4,51.282051282051285,0.0,80.64516129032258,5.9,1.6,0.7,0.6,1.5,1.0
J.R. Smith,76,10.3,39.795918367346935,29.729729729729733,71.42857142857143,2.0,1.9,0.7,0.1,1.4,1.0
Mark Macon,76,10.6,37.606837606837615,25.0,75.0,2.9,2.2,2.0,0.2,2.0,1.0
Sam Bowie,76,10.0,53.42465753424658,0.0,70.0,8.6,2.8,0.7,2.7,2.3,1.0
Dirk Minniefield,76,5.5,47.82608695652175,20.0,83.33333333333334,1.7,3.5,0.9,0.0,1.4,0.0
Chris Morris,76,14.1,45.3781512605042,34.78260869565218,72.72727272727273,5.2,1.6,1.3,0.8,2.5,1.0
Lamar Odom,76,16.6,43.7037037037037,36.36363636363636,72.72727272727273,7.8,4.2,1.2,1.3,3.4,1.0
Marcus Liberty,76,6.7,41.1764705882353,25.0,66.66666666666667,2.9,0.8,0.6,0.3,0.9,0.0
Chris Bosh,75,11.5,46.31578947368422,50.0,71.05263157894737,7.4,1.0,0.8,1.4,1.4,1.0
Dallas Comegys,75,5.6,43.75,0.0,70.0,2.9,0.9,0.5,0.9,1.6,0.0
Michael Cage,75,7.1,54.716981132075475,0.0,72.22222222222221,5.2,0.7,0.6,0.4,1.1,1.0
Bill Garnett,75,6.3,53.48837209302325,0.0,73.91304347826087,5.4,1.4,0.6,0.9,1.1,0.0
Kenny Williams,75,2.9,50.0,0.0,71.42857142857143,1.7,0.4,0.1,0.4,0.6,0.0
Vonteego Cummings,75,9.4,40.229885057471265,35.0,73.91304347826087,2.5,3.3,1.2,0.2,1.8,0.0
Chucky Brown,75,7.3,46.666666666666664,0.0,77.27272727272727,3.1,0.7,0.4,0.3,0.9,1.0
Lester Conner,75,4.9,47.5,0.0,73.33333333333334,2.9,3.4,1.6,0.1,1.3,1.0
Darren Daye,75,6.1,44.44444444444444,0.0,72.22222222222221,2.5,2.3,0.5,0.2,1.3,1.0
Eric Leckner,75,4.3,55.17241379310345,0.0,73.33333333333334,2.7,0.2,0.1,0.3,0.9,1.0
Mitchell Butler,75,6.9,50.0,0.0,58.333333333333336,3.0,1.0,0.7,0.3,1.2,1.0
Udonis Haslem,75,7.3,45.0,0.0,79.16666666666667,6.3,0.7,0.4,0.3,1.0,1.0
Roy Tarpley,75,7.5,46.26865671641791,0.0,68.42105263157895,7.1,0.7,0.8,1.1,1.4,1.0
Todd Fuller,75,4.1,42.857142857142854,0.0,66.66666666666667,3.3,0.3,0.1,0.3,0.7,1.0
Nerlens Noel,75,9.9,45.97701149425288,0.0,61.29032258064516,8.1,1.7,1.8,1.9,1.9,0.0
Phil Pressey,75,2.8,29.411764705882355,28.571428571428573,66.66666666666667,1.4,3.2,0.9,0.1,1.2,0.0
Tony Bennett,75,3.7,42.857142857142854,27.27272727272727,80.0,0.8,1.8,0.4,0.0,0.7,0.0
Ken Bannister,75,6.8,47.45762711864406,0.0,46.15384615384615,4.4,0.5,0.5,0.5,1.9,1.0
Orlando Woolridge,75,7.3,50.943396226415096,0.0,70.37037037037037,3.0,1.1,0.3,0.3,1.4,1.0
Brandon Rush,75,8.1,41.55844155844156,35.714285714285715,66.66666666666667,3.1,0.9,0.5,0.5,1.0,1.0
JaVale McGee,75,6.5,48.07692307692307,0.0,63.63636363636363,3.9,0.3,0.4,1.0,0.8,1.0
Mike Batiste,75,6.4,41.935483870967744,18.18181818181818,75.0,3.4,0.7,0.6,0.2,0.9,0.0
Jay Williams,75,9.5,39.56043956043956,33.33333333333333,66.66666666666666,2.6,4.7,1.1,0.2,2.3,0.0
Rex Chapman,75,16.9,41.42011834319527,32.0,80.76923076923076,2.5,2.3,0.9,0.3,1.5,1.0
Nick Young,75,7.5,43.75,38.46153846153846,76.47058823529412,1.5,0.8,0.5,0.1,1.3,1.0
Steve Blake,75,5.9,38.888888888888886,37.03703703703704,77.77777777777777,1.6,2.8,0.8,0.1,1.7,1.0
Arron Afflalo,75,3.7,40.625,16.666666666666668,75.0,1.8,0.7,0.4,0.1,0.5,1.0
Theo Ratliff,75,4.5,54.83870967741935,0.0,68.75,4.0,0.2,0.2,1.6,0.8,1.0
Andrew Toney,75,12.9,49.532710280373834,25.0,70.0,1.9,3.6,0.8,0.1,2.9,1.0
Josh Smith,74,9.7,45.67901234567901,33.333333333333336,68.75,6.2,1.7,0.8,1.9,1.8,1.0
JaKarr Sampson,74,5.2,42.5531914893617,23.529411764705884,69.23076923076923,2.2,1.0,0.5,0.3,1.0,0.0
Tyrone Hill,74,5.3,50.0,0.0,61.904761904761905,5.2,0.3,0.5,0.4,1.0,1.0
Acie Earl,74,5.5,40.0,0.0,68.18181818181817,3.3,0.2,0.3,0.7,1.0,0.0
Kurt Thomas,74,9.0,50.0,0.0,66.66666666666667,5.9,0.6,0.6,0.5,1.3,1.0
Derrick Coleman,74,18.4,46.308724832214764,40.0,73.33333333333334,10.3,2.2,1.0,1.3,2.9,1.0
Kyle Korver,74,4.5,36.36363636363636,39.28571428571429,100.0,1.5,0.5,0.3,0.1,0.6,1.0
Rob Williams,74,7.0,41.26984126984127,0.0,75.0,1.8,4.9,1.2,0.2,2.5,0.0
Kelvin Cato,74,3.8,41.935483870967744,0.0,70.58823529411765,3.4,0.3,0.4,1.3,0.6,1.0
Walter Bond,74,8.0,40.78947368421053,16.666666666666668,73.91304347826087,2.6,1.6,1.0,0.2,1.5,0.0
Bill Hanzlik,74,5.4,48.71794871794872,0.0,80.0,2.1,1.5,0.8,0.3,1.1,1.0
Jud Buechler,74,3.1,41.935483870967744,0.0,66.66666666666667,1.9,0.7,0.5,0.2,0.3,1.0
Antonio Daniels,74,7.8,41.89189189189189,14.285714285714286,65.21739130434783,1.9,4.5,0.7,0.1,2.2,1.0
Eddie Johnson,74,9.3,45.97701149425288,0.0,65.0,4.4,1.5,0.7,0.2,1.3,1.0
Thaddeus Young,74,8.2,54.54545454545455,33.333333333333336,71.42857142857143,4.2,0.8,1.0,0.1,0.9,1.0
Chase Budinger,74,8.9,44.73684210526316,35.294117647058826,75.0,3.0,1.2,0.5,0.1,0.7,1.0
Byron Scott,74,10.6,48.387096774193544,20.0,78.94736842105263,2.2,2.4,1.1,0.3,1.6,1.0
Quincy Lewis,74,3.8,37.5,33.333333333333336,71.42857142857143,1.5,0.5,0.3,0.2,0.6,0.0
Terence Stansbury,74,7.1,45.16129032258064,33.333333333333336,82.3529411764706,1.5,1.7,0.6,0.2,1.1,0.0
Othell Wilson,74,4.4,46.15384615384615,0.0,70.0,1.8,2.9,1.0,0.2,1.3,0.0
Chuck Aleksinas,74,5.1,47.82608695652175,0.0,70.0,3.6,0.5,0.2,0.2,1.0,0.0
Joakim Noah,74,6.6,48.0,0.0,69.23076923076923,5.6,1.1,0.9,0.9,1.2,1.0
Brian Oliver,73,3.8,40.54054054054054,50.0,70.0,1.1,1.2,0.5,0.1,0.7,0.0
Keith Bogans,73,6.8,40.32258064516129,34.61538461538461,64.28571428571429,4.3,1.3,0.6,0.1,1.0,1.0
Sean Williams,73,5.6,52.38095238095239,0.0,61.111111111111114,4.4,0.4,0.4,1.4,1.0,0.0
Jared Dudley,73,5.8,45.83333333333334,16.666666666666668,75.0,3.9,1.1,0.8,0.1,0.7,1.0
Loy Vaught,73,5.5,48.97959183673469,0.0,70.0,4.8,0.5,0.3,0.3,0.7,1.0
Jon Sundvold,73,6.9,44.776119402985074,20.0,90.0,1.2,3.3,0.4,0.0,1.1,1.0
Stanley Johnson,73,8.1,37.80487804878049,32.142857142857146,78.57142857142858,4.2,1.6,0.8,0.2,1.6,0.0
Harold Miner,73,10.3,47.61904761904762,0.0,75.86206896551725,2.0,1.0,0.5,0.1,1.3,0.0
Will Barton,73,4.0,38.095238095238095,11.11111111111111,77.77777777777777,2.0,0.8,0.5,0.1,0.8,1.0
Eddie Griffin,73,8.8,36.26373626373626,32.43243243243243,75.0,5.7,0.7,0.2,1.8,0.6,1.0
Terrence Ross,73,6.4,39.682539682539684,33.33333333333333,66.66666666666667,2.0,0.7,0.6,0.2,0.7,1.0
Jrue Holiday,73,8.0,45.07042253521127,36.36363636363636,75.0,2.6,3.8,1.1,0.3,2.1,1.0
Emeka Okafor,73,15.1,44.52554744525548,0.0,61.702127659574465,10.9,0.9,0.8,1.7,1.7,1.0
Terry Teagle,73,10.4,42.45283018867924,25.0,70.58823529411765,2.7,2.1,0.7,0.3,1.9,1.0
Walt Szczerbiak,73,11.6,51.08695652173913,36.36363636363636,81.81818181818181,3.7,2.8,0.8,0.3,1.1,0.0
Marcus Thornton,73,14.5,45.45454545454545,37.2093023255814,83.33333333333334,2.9,1.6,0.8,0.1,1.0,1.0
Erick Dampier,72,5.1,38.29787234042553,0.0,65.21739130434783,4.1,0.6,0.3,1.0,1.2,1.0
Marcus Fizer,72,9.5,43.333333333333336,20.0,72.72727272727272,4.3,1.1,0.4,0.3,1.7,1.0
Nate Robinson,72,9.3,41.02564102564103,40.0,75.0,2.3,2.0,0.8,0.0,1.6,1.0
Loren Meyer,72,5.0,43.47826086956522,0.0,71.42857142857143,4.4,0.8,0.3,0.4,0.9,0.0
Michael Ansley,72,8.7,49.23076923076923,0.0,71.87499999999999,5.0,0.6,0.3,0.2,0.7,0.0
Sean Rooks,72,13.5,49.03846153846153,0.0,61.11111111111111,7.4,1.3,0.5,1.1,2.2,1.0
Luke Walton,72,2.4,42.857142857142854,40.0,66.66666666666667,1.8,1.6,0.4,0.1,0.6,1.0
Robert Pack,72,4.6,42.10526315789474,0.0,77.77777777777777,1.3,1.9,0.6,0.1,1.3,1.0
Rasual Butler,72,7.5,36.70886075949367,29.166666666666668,78.57142857142858,2.6,1.3,0.3,0.6,1.1,1.0
Casey Jacobsen,72,5.1,37.77777777777778,30.434782608695656,66.66666666666667,1.2,1.0,0.5,0.1,0.8,0.0
Eddy Curry,72,6.7,50.0,0.0,68.18181818181817,3.8,0.3,0.2,0.7,1.0,1.0
Metta World Peace,72,12.0,40.95238095238095,29.629629629629626,66.66666666666667,4.3,2.8,1.6,0.5,2.3,1.0
D.J. Augustin,72,11.8,43.02325581395349,44.11764705882353,90.625,1.8,3.5,0.6,0.0,1.6,1.0
Jim Smith,72,2.9,52.173913043478265,0.0,41.66666666666667,2.5,0.6,0.3,0.7,0.7,0.0
Tyreke Evans,72,20.1,45.67901234567901,25.0,73.84615384615384,5.3,5.8,1.5,0.4,3.0,1.0
Donyell Marshall,72,12.6,39.34426229508197,29.411764705882355,64.51612903225806,5.6,1.5,0.6,1.2,1.6,1.0
Jerry Stackhouse,72,19.2,41.44736842105263,31.707317073170735,75.0,3.7,3.9,1.1,1.1,3.5,1.0
Jeff Turner,72,5.8,46.15384615384615,0.0,84.61538461538463,3.0,1.5,0.4,0.1,1.3,1.0
Gordon Hayward,72,5.4,48.78048780487805,50.0,76.92307692307692,1.9,1.1,0.4,0.3,1.0,1.0
Isiah Thomas*,72,17.0,42.567567567567565,25.0,70.0,2.9,7.8,2.1,0.2,4.2,1.0
Jordan Farmar,72,4.4,41.463414634146346,31.578947368421055,80.0,1.7,1.9,0.6,0.1,1.0,1.0
Kenny Thomas,72,8.3,39.189189189189186,23.529411764705884,65.51724137931035,6.1,1.6,0.8,0.3,1.6,1.0
Ron Grandison,72,2.5,40.0,0.0,72.72727272727272,1.3,0.6,0.3,0.0,0.5,0.0
Jim Thomas,72,6.3,46.42857142857143,0.0,73.33333333333334,2.1,1.8,0.8,0.1,1.0,0.0
Adrian Griffin,72,6.7,42.10526315789473,25.0,77.27272727272727,5.2,2.5,1.6,0.2,1.3,1.0
Tyrus Thomas,72,5.2,48.71794871794872,0.0,62.5,3.7,0.6,0.6,1.1,1.3,1.0
Lowes Moore,71,7.0,44.776119402985074,25.0,76.92307692307692,2.4,3.2,0.9,0.2,1.5,0.0
Spencer Hawes,71,4.7,46.666666666666664,33.333333333333336,62.5,3.2,0.6,0.2,0.6,0.8,1.0
Bob Thornton,71,4.7,46.15384615384615,0.0,52.173913043478265,4.1,0.6,0.4,0.1,1.2,1.0
Pete Verhoeven,71,4.9,50.0,0.0,70.0,3.6,0.7,0.6,0.3,0.8,1.0
Richard Hamilton,71,9.0,42.35294117647059,36.36363636363636,78.94736842105263,1.8,1.5,0.4,0.1,1.2,1.0
Kevin Loder,71,6.9,46.03174603174603,0.0,73.33333333333334,2.7,1.2,0.5,0.4,1.0,0.0
Jeff Teague,71,3.2,40.625,20.0,85.71428571428572,0.9,1.7,0.5,0.1,0.7,1.0
Tyson Chandler,71,6.1,48.83720930232558,0.0,61.29032258064516,4.8,0.8,0.4,1.3,1.4,1.0
Nick Calathes,71,4.9,45.45454545454545,33.333333333333336,60.0,1.9,2.9,0.9,0.1,1.4,0.0
